                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     83,                 0.9646,                 1.1343,                0.90881,                 1.0993,                0.97216,                0.97781,                0.98174,                0.58109,                0.97806,                  0.982,                0.98874,                0.62161,                 1.4142,                 2.6599,                0.69576,                 1.6106,              0.0003764,              0.0003764,              0.0003764
                     84,                0.96644,                 1.1668,                0.91886,                 1.1058,                0.97646,                  0.971,                0.98188,                0.61605,                0.97679,                  0.973,                0.98519,                 0.6373,                 1.3425,                 2.5169,                 0.6589,                 1.5576,              0.0003566,              0.0003566,              0.0003566
                     85,                0.97159,                 1.1891,                0.91339,                 1.0948,                0.98352,                  0.976,                0.98603,                 0.6272,                 0.9828,                  0.975,                0.98757,                0.62601,                    1.3,                 2.5401,                0.68009,                 1.5173,              0.0003368,              0.0003368,              0.0003368
                     86,                0.96303,                 1.1253,                0.89239,                 1.0994,                0.98927,                  0.978,                0.98296,                0.60377,                0.99248,                  0.981,                0.98787,                 0.6466,                 1.3869,                 2.3452,                0.64193,                 1.5839,               0.000317,               0.000317,               0.000317
                     87,                0.94389,                 1.0881,                0.87678,                 1.0907,                0.98669,                  0.976,                0.98648,                0.61164,                0.98791,                  0.976,                 0.9872,                0.62662,                  1.364,                  2.407,                0.67812,                 1.5601,              0.0002972,              0.0002972,              0.0002972
                     88,                0.97003,                 1.1302,                0.90281,                   1.11,                0.99057,                  0.977,                0.98679,                0.62421,                0.98854,                  0.975,                0.98741,                 0.6611,                 1.3149,                 2.2854,                0.64527,                 1.5223,              0.0002774,              0.0002774,              0.0002774
                     89,                0.93288,                 1.1338,                0.87913,                 1.0929,                0.98738,                  0.978,                0.98581,                0.63316,                0.98738,                  0.978,                0.99095,                0.65322,                 1.3315,                 2.2445,                0.59232,                 1.5378,              0.0002576,              0.0002576,              0.0002576
                     90,                0.96086,                 1.1259,                 0.9007,                 1.0987,                0.97984,                0.97218,                0.97958,                0.60463,                0.98191,                0.97703,                0.98625,                0.64122,                 1.3556,                 2.4127,                0.66682,                 1.5695,              0.0002378,              0.0002378,              0.0002378
                     91,                0.78404,                 1.0533,                0.66704,                0.98019,                0.98784,                  0.984,                0.98447,                0.62013,                   0.99,                  0.986,                0.99092,                0.64472,                 1.3269,                 2.4005,                0.59929,                 1.5489,               0.000218,               0.000218,               0.000218
                     92,                0.76167,                0.99415,                0.63265,                0.96799,                0.98624,                  0.984,                0.98442,                0.63295,                0.99025,                  0.988,                0.99222,                0.65774,                 1.2859,                 2.3148,                0.60774,                 1.5017,              0.0001982,              0.0001982,              0.0001982
                     93,                0.73168,                 1.0012,                0.60843,                0.96003,                0.98977,                  0.983,                0.98559,                0.62459,                 0.9917,                  0.985,                0.99174,                0.66646,                 1.3332,                 2.2004,                0.59915,                 1.5343,              0.0001784,              0.0001784,              0.0001784
                     94,                0.73739,                0.97982,                0.60165,                0.95878,                0.98292,                0.97808,                0.98753,                0.64288,                0.97989,                0.97432,                0.98869,                0.64191,                 1.2674,                 2.3576,                0.63805,                 1.4812,              0.0001586,              0.0001586,              0.0001586
                     95,                0.73444,                0.96826,                0.59009,                0.96362,                0.98988,                0.97772,                0.98854,                0.64581,                0.98886,                0.97672,                 0.9904,                0.65048,                 1.2721,                 2.2914,                 0.5908,                 1.4796,              0.0001388,              0.0001388,              0.0001388
                     96,                0.71579,                0.97621,                0.58022,                0.96002,                0.99174,                  0.977,                0.98968,                0.63845,                0.99174,                  0.977,                0.99216,                0.67313,                 1.3226,                 2.2079,                0.55877,                 1.5069,               0.000119,               0.000119,               0.000119
                     97,                0.72049,                0.98061,                0.57731,                 0.9548,                0.99165,                  0.981,                0.98947,                0.64717,                0.99076,                  0.981,                0.99242,                0.67345,                 1.2869,                 2.2097,                0.57027,                 1.4908,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.70328,                0.95797,                0.55183,                0.94783,                 0.9921,                  0.982,                0.98951,                0.65355,                0.99091,                0.98082,                0.99184,                0.67197,                  1.264,                 2.2015,                 0.5733,                 1.4746,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.71176,                0.92458,                0.55276,                0.95641,                0.98991,                0.98106,                0.99141,                0.65461,                0.98984,                  0.981,                0.99255,                0.67016,                 1.2795,                 2.1926,                0.55067,                 1.4938,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.69604,                0.95034,                0.55162,                0.94486,                0.99157,                  0.982,                0.98954,                0.64454,                0.99157,                  0.982,                0.99211,                0.67742,                 1.3067,                 2.1454,                 0.5526,                 1.5088,               3.98e-05,               3.98e-05,               3.98e-05
